timestamp,player_id,machine_id,machine_type,arcade_zone,game_mode,game_duration_s,pause_s,tilt_risk_pct,ball_speed_mps,playfield_temp_c,error_code,game_status,incident_label
2026-02-03 10:00:00,P001,F17,electromechanical,C3,speedrun,188,0,39.32,1.154,37.76,,completed,0
2026-02-03 10:00:00,P221,F04,solid_state,D1,multiball,218,23,76.1,1.002,30.84,,completed,0
2026-02-03 10:05:00,P034,F13,digital,C1,classic,143,21,5.86,0.965,33.96,,completed,0
2026-02-03 10:05:00,P007,F06,solid_state,D1,multiball,319,41,47.16,1.054,28.43,,completed,0
2026-02-03 10:05:00,P009,F16,electromechanical,A2,classic,175,33,60.06,0.934,22.61,,completed,0
2026-02-03 10:10:00,P172,F16,electromechanical,C1,wizard,270,5,86.59,0.931,32.48,,completed,0
2026-02-03 10:10:00,P160,F19,electromechanical,C3,speedrun,120,12,37.59,0.867,25.1,,completed,0
2026-02-03 10:10:00,P096,F09,digital,A1,classic,147,0,32.58,1.336,28.92,,completed,0
2026-02-03 10:15:00,P257,F11,digital,C2,classic,182,8,47.43,1.03,30.26,E_BALL_JAM,failed,1
2026-02-03 10:20:00,P191,F07,solid_state,D1,wizard,331,33,91.62,1.529,33.9,,completed,0
2026-02-03 10:20:00,P185,F19,electromechanical,C1,classic,177,17,74.62,1.279,30.68,,completed,0
2026-02-03 10:25:00,P220,F15,electromechanical,B2,classic,199,8,26.69,1.255,36.68,,completed,0
2026-02-03 10:25:00,P223,F19,electromechanical,A1,classic,172,39,71.58,1.131,33.89,,completed,0
2026-02-03 10:30:00,P118,F16,electromechanical,B1,multiball,233,28,78.66,1.106,31.86,,completed,0
2026-02-03 10:35:00,P058,F10,digital,C2,classic,132,37,48.97,0.952,31.21,,completed,0
2026-02-03 10:35:00,P019,F03,solid_state,C1,multiball,219,18,69.38,1.448,25.51,,completed,0
2026-02-03 10:40:00,P041,F15,electromechanical,B2,wizard,308,22,19.02,1.223,33.59,,completed,0
2026-02-03 10:40:00,P152,F12,digital,B2,classic,192,9,82.34,0.985,31.07,,completed,0
2026-02-03 10:40:00,P180,F09,digital,A2,multiball,256,31,59.34,0.724,26.29,,completed,0
2026-02-03 10:45:00,P175,F18,electromechanical,C2,multiball,250,17,76.42,0.423,18.15,,completed,0
2026-02-03 10:50:00,P053,F14,digital,A1,classic,133,22,59.48,1.474,25.22,,completed,0
2026-02-03 10:55:00,P234,F06,solid_state,C2,classic,168,0,46.79,1.178,30.59,,completed,0
2026-02-03 11:00:00,P059,F05,solid_state,C3,multiball,245,8,71.16,1.122,30.16,,completed,0
2026-02-03 11:05:00,P028,F13,digital,C3,multiball,275,0,21.74,1.239,35.5,,completed,0
2026-02-03 11:10:00,P043,F07,solid_state,B2,speedrun,96,29,53.72,1.196,27.99,,completed,0
2026-02-03 11:10:00,P149,F11,digital,B1,wizard,226,14,59.58,1.355,25.11,E_FLIPPER_STUCK,failed,1
2026-02-03 11:15:00,P020,F11,digital,D1,wizard,299,28,43.26,1.056,28.74,,completed,0
2026-02-03 11:20:00,P012,F19,electromechanical,C1,classic,188,23,58.74,1.249,26.53,,completed,0
